timestamp,speed_input,speed_output,filesize_input,filesize_output
605,48.0 rd,45.9 wr,"in(64.8, 62.7)",out(121.9)
606,48.7 rd,46.0 wr,"in(64.8, 64.8)",out(122.4)
607,48.7 rd,46.4 wr,"in(64.8, 64.8)",out(123.3)
608,48.7 rd,46.2 wr,"in(64.8, 64.8)",out(122.9)
609,57.7 rd,56.0 wr,"in(64.8, 94.6)",out(154.5)
610,53.4 rd,51.8 wr,"in(64.8, 106.8)",out(166.3)
611,59.1 rd,57.4 wr,"in(64.8, 125.0)",out(184.6)
612,59.1 rd,56.4 wr,"in(64.8, 125.0)",out(181.3)
613,58.3 rd,57.0 wr,"in(64.8, 122.9)",out(183.6)
614,56.3 rd,54.2 wr,"in(64.8, 116.1)",out(174.1)
617,263.1 rd,258.4 wr,"in(64.8, 129.5)",out(190.8)
619,294.1 rd,290.6 wr,"in(64.8, 194.3)",out(256.0)
621,227.0 rd,224.8 wr,"in(16.3, 64.8)",out(80.3)
622,195.9 rd,193.0 wr,"in(64.8, 259.1)",out(318.9)
624,179.2 rd,177.9 wr,"in(0.0, 430.5)",out(427.3)
625,76.6 rd,75.6 wr,"in(64.8, 314.6)",out(374.3)
626,64.3 rd,63.4 wr,"in(64.8, 289.8)",out(349.5)
627,80.3 rd,79.5 wr,"in(64.8, 377.8)",out(438.0)
628,65.2 rd,64.2 wr,"in(64.8, 296.6)",out(355.9)
629,73.2 rd,72.5 wr,"in(64.8, 351.6)",out(412.3)
630,87.3 rd,86.3 wr,"in(64.8, 450.3)",out(509.3)
632,97.7 rd,96.7 wr,"in(64.8, 493.5)",out(552.5)
638,46.3 rd,44.3 wr,"in(64.8, 60.6)",out(120.1)
641,47.8 rd,45.8 wr,"in(64.8, 64.8)",out(124.2)
642,47.8 rd,45.4 wr,"in(64.8, 64.8)",out(122.9)
643,47.4 rd,44.9 wr,"in(64.8, 63.6)",out(121.7)
644,53.9 rd,51.8 wr,"in(64.8, 89.7)",out(148.7)
645,58.0 rd,56.3 wr,"in(64.8, 112.7)",out(172.3)
646,48.0 rd,45.7 wr,"in(64.8, 116.7)",out(172.7)
