,workload,iodepth,numjobs,ioengine,bs,media,MBPS,diskutil
449,write,32,16,libaio,16,nvme,4277.0,19.09
450,randwrite,1,4,psync,16,ssd,179.0,76.75
451,randwrite,1,1,psync,16,ssd,118.0,53.67
452,randwrite,16,4,psync,64,hdd,89.7,46.9
453,randwrite,1,16,libaio,64,nvme,1775.0,91.52
454,randwrite,1,16,libaio,4,hdd,67.7,38.62
455,randwrite,1,16,libaio,64,ssd,196.0,69.51
456,write,32,4,psync,16,ssd,601.0,40.74
457,randwrite,32,16,psync,64,nvme,1824.0,93.25
458,write,16,4,libaio,4,hdd,1056.0,68.87
459,randwrite,16,1,libaio,16,nvme,1742.0,71.97
460,write,16,1,libaio,64,hdd,290.0,66.35
461,write,64,16,psync,64,nvme,5089.0,19.07
462,randwrite,32,4,psync,16,hdd,103.0,66.98
463,write,32,16,libaio,4,ssd,2492.0,40.74
464,write,64,16,psync,16,hdd,3737.0,57.84
465,write,64,4,psync,16,nvme,4206.0,55.13
466,write,64,1,libaio,16,ssd,123.0,25.23
467,randwrite,32,16,psync,4,nvme,1796.0,91.89
468,randwrite,32,1,psync,16,nvme,1769.0,72.84
469,randwrite,1,1,libaio,16,nvme,1734.0,71.78
470,write,1,4,libaio,4,ssd,651.0,43.0
471,write,1,16,libaio,16,hdd,3730.0,58.13
472,randwrite,64,1,psync,16,nvme,1766.0,72.57
473,randwrite,256,16,libaio,16,nvme,1782.0,92.87
474,randwrite,256,16,psync,64,hdd,110.0,64.0
475,randwrite,64,16,psync,4,hdd,64.3,40.23
476,randwrite,1,1,libaio,16,hdd,86.7,54.25
477,write,256,1,libaio,16,hdd,287.0,65.88
478,write,32,16,psync,16,ssd,2336.0,37.33
479,write,1,16,psync,64,ssd,2674.0,41.22
480,write,64,4,psync,64,nvme,4555.0,58.8
481,write,256,1,libaio,4,hdd,284.0,64.58
482,write,32,16,psync,4,nvme,3805.0,13.96
483,randwrite,16,16,libaio,4,hdd,67.0,35.88
484,randwrite,64,16,libaio,64,nvme,1825.0,93.11
485,write,1,1,libaio,64,hdd,289.0,66.52
486,write,32,16,psync,16,nvme,4653.0,19.04
487,write,256,16,libaio,64,nvme,4249.0,17.19
488,write,1,1,libaio,4,ssd,123.0,23.14
489,write,1,1,libaio,64,ssd,126.0,23.81
490,write,256,4,libaio,64,nvme,3880.0,51.08
491,write,16,1,psync,64,hdd,290.0,66.54
492,write,32,16,libaio,64,nvme,4251.0,19.34
493,randwrite,16,16,libaio,4,nvme,1786.0,91.46
494,randwrite,256,4,psync,4,nvme,1776.0,89.4
495,write,256,1,psync,16,ssd,134.0,25.97
496,randwrite,32,4,psync,16,ssd,207.0,79.7
497,randwrite,1,16,psync,64,nvme,1779.0,91.64
498,write,32,4,psync,16,nvme,4263.0,55.59
499,randwrite,256,16,psync,16,nvme,1822.0,93.18
500,randwrite,32,16,psync,4,hdd,105.0,67.95
